orden,fase,fecha,sede,estadio,equipo_a,goles_a,goles_b,equipo_b,nota
1,Grupo A,11 de junio de 2026,Ciudad de México,Estadio Azteca,Mexico,2,0,South Africa,Jornada del Grupo A
2,Grupo A,11 de junio de 2026,Guadalajara,Estadio Akron,South Korea,2,0,Czech Republic,Jornada del Grupo A
3,Grupo A,18 de junio de 2026,Atlanta,Mercedes-Benz Stadium,Czech Republic,2,0,South Africa,Jornada del Grupo A
4,Grupo A,18 de junio de 2026,Guadalajara,Estadio Akron,Mexico,2,1,South Korea,Jornada del Grupo A
5,Grupo A,24 de junio de 2026,Ciudad de México,Estadio Azteca,Czech Republic,1,2,Mexico,Jornada del Grupo A
6,Grupo A,24 de junio de 2026,Monterrey,Estadio BBVA,South Africa,0,3,South Korea,Jornada del Grupo A
7,Cierre Grupo A,,,,,,,,1º Mexico; 2º South Korea; 3º Czech Republic; 4º South Africa
8,Grupo B,12 de junio de 2026,Toronto,BMO Field,Canada,3,0,Bosnia and Herzegovina,Jornada del Grupo B
9,Grupo B,13 de junio de 2026,San Francisco,Levi's Stadium,Qatar,0,7,Switzerland,Jornada del Grupo B
10,Grupo B,18 de junio de 2026,Los Ángeles,SoFi Stadium,Switzerland,1,1,Bosnia and Herzegovina,Jornada del Grupo B
11,Grupo B,18 de junio de 2026,Vancouver,BC Place,Canada,2,0,Qatar,Jornada del Grupo B
12,Grupo B,24 de junio de 2026,Vancouver,BC Place,Switzerland,2,2,Canada,Jornada del Grupo B
13,Grupo B,24 de junio de 2026,Seattle,Lumen Field,Bosnia and Herzegovina,1,2,Qatar,Jornada del Grupo B
14,Cierre Grupo B,,,,,,,,1º Canada; 2º Switzerland; 3º Qatar; 4º Bosnia and Herzegovina
15,Grupo C,13 de junio de 2026,Nueva York/Nueva Jersey,MetLife Stadium,Brazil,3,0,Morocco,Jornada del Grupo C
16,Grupo C,13 de junio de 2026,Boston,Gillette Stadium,Haiti,0,3,Scotland,Jornada del Grupo C
17,Grupo C,19 de junio de 2026,Filadelfia,Lincoln Financial Field,Brazil,4,1,Haiti,Jornada del Grupo C
18,Grupo C,19 de junio de 2026,Boston,Gillette Stadium,Scotland,0,2,Morocco,Jornada del Grupo C
19,Grupo C,24 de junio de 2026,Miami,Hard Rock Stadium,Scotland,1,3,Brazil,Jornada del Grupo C
20,Grupo C,24 de junio de 2026,Atlanta,Mercedes-Benz Stadium,Morocco,5,1,Haiti,Jornada del Grupo C
21,Cierre Grupo C,,,,,,,,1º Brazil; 2º Morocco; 3º Scotland; 4º Haiti
22,Grupo D,12 de junio de 2026,Los Ángeles,SoFi Stadium,United States,0,2,Paraguay,Jornada del Grupo D
23,Grupo D,13 de junio de 2026,Vancouver,BC Place,Australia,0,1,Turkey,Jornada del Grupo D
24,Grupo D,19 de junio de 2026,San Francisco,Levi's Stadium,Turkey,1,1,Paraguay,Jornada del Grupo D
25,Grupo D,19 de junio de 2026,Seattle,Lumen Field,United States,0,1,Australia,Jornada del Grupo D
26,Grupo D,25 de junio de 2026,Los Ángeles,SoFi Stadium,Turkey,2,2,United States,Jornada del Grupo D
27,Grupo D,25 de junio de 2026,San Francisco,Levi's Stadium,Paraguay,0,0,Australia,Jornada del Grupo D
28,Cierre Grupo D,,,,,,,,1º Paraguay; 2º Turkey; 3º Australia; 4º United States
29,Grupo E,14 de junio de 2026,Houston,NRG Stadium,Germany,2,1,Curaçao,Jornada del Grupo E
30,Grupo E,14 de junio de 2026,Filadelfia,Lincoln Financial Field,Ivory Coast,0,2,Ecuador,Jornada del Grupo E
31,Grupo E,20 de junio de 2026,Toronto,BMO Field,Germany,2,1,Ivory Coast,Jornada del Grupo E
32,Grupo E,20 de junio de 2026,Kansas City,Arrowhead Stadium,Ecuador,2,1,Curaçao,Jornada del Grupo E
33,Grupo E,25 de junio de 2026,Nueva York/Nueva Jersey,MetLife Stadium,Ecuador,1,1,Germany,Jornada del Grupo E
34,Grupo E,25 de junio de 2026,Filadelfia,Lincoln Financial Field,Curaçao,0,2,Ivory Coast,Jornada del Grupo E
35,Cierre Grupo E,,,,,,,,1º Ecuador; 2º Germany; 3º Ivory Coast; 4º Curaçao
36,Grupo F,14 de junio de 2026,Dallas,AT&T Stadium,Netherlands,2,2,Japan,Jornada del Grupo F
37,Grupo F,14 de junio de 2026,Monterrey,Estadio BBVA,Sweden,2,0,Tunisia,Jornada del Grupo F
38,Grupo F,20 de junio de 2026,Houston,NRG Stadium,Netherlands,0,1,Sweden,Jornada del Grupo F
39,Grupo F,20 de junio de 2026,Monterrey,Estadio BBVA,Tunisia,0,4,Japan,Jornada del Grupo F
40,Grupo F,25 de junio de 2026,Dallas,AT&T Stadium,Japan,1,1,Sweden,Jornada del Grupo F
41,Grupo F,25 de junio de 2026,Kansas City,Arrowhead Stadium,Tunisia,0,1,Netherlands,Jornada del Grupo F
42,Cierre Grupo F,,,,,,,,1º Sweden; 2º Japan; 3º Netherlands; 4º Tunisia
43,Grupo G,15 de junio de 2026,Seattle,Lumen Field,Belgium,3,2,Egypt,Jornada del Grupo G
44,Grupo G,15 de junio de 2026,Los Ángeles,SoFi Stadium,Iran,1,2,New Zealand,Jornada del Grupo G
45,Grupo G,21 de junio de 2026,Los Ángeles,SoFi Stadium,Belgium,1,2,Iran,Jornada del Grupo G
46,Grupo G,21 de junio de 2026,Vancouver,BC Place,New Zealand,0,0,Egypt,Jornada del Grupo G
47,Grupo G,26 de junio de 2026,Vancouver,BC Place,New Zealand,1,2,Belgium,Jornada del Grupo G
48,Grupo G,26 de junio de 2026,Seattle,Lumen Field,Egypt,0,2,Iran,Jornada del Grupo G
49,Cierre Grupo G,,,,,,,,1º Iran; 2º Belgium; 3º New Zealand; 4º Egypt
50,Grupo H,15 de junio de 2026,Atlanta,Mercedes-Benz Stadium,Spain,3,1,Cape Verde,Jornada del Grupo H
51,Grupo H,15 de junio de 2026,Miami,Hard Rock Stadium,Saudi Arabia,1,1,Uruguay,Jornada del Grupo H
52,Grupo H,21 de junio de 2026,Atlanta,Mercedes-Benz Stadium,Spain,2,2,Saudi Arabia,Jornada del Grupo H
53,Grupo H,21 de junio de 2026,Miami,Hard Rock Stadium,Uruguay,1,0,Cape Verde,Jornada del Grupo H
54,Grupo H,26 de junio de 2026,Guadalajara,Estadio Akron,Uruguay,1,2,Spain,Jornada del Grupo H
55,Grupo H,26 de junio de 2026,Houston,NRG Stadium,Cape Verde,2,1,Saudi Arabia,Jornada del Grupo H
56,Cierre Grupo H,,,,,,,,1º Spain; 2º Uruguay; 3º Cape Verde; 4º Saudi Arabia
57,Grupo I,16 de junio de 2026,Nueva York/Nueva Jersey,MetLife Stadium,France,2,0,Senegal,Jornada del Grupo I
58,Grupo I,16 de junio de 2026,Boston,Gillette Stadium,Iraq,2,3,Norway,Jornada del Grupo I
59,Grupo I,22 de junio de 2026,Nueva York/Nueva Jersey,MetLife Stadium,Norway,2,0,Senegal,Jornada del Grupo I
60,Grupo I,22 de junio de 2026,Filadelfia,Lincoln Financial Field,France,1,2,Iraq,Jornada del Grupo I
61,Grupo I,26 de junio de 2026,Boston,Gillette Stadium,Norway,3,3,France,Jornada del Grupo I
62,Grupo I,26 de junio de 2026,Toronto,BMO Field,Senegal,3,1,Iraq,Jornada del Grupo I
63,Cierre Grupo I,,,,,,,,1º Norway; 2º France; 3º Iraq; 4º Senegal
64,Grupo J,16 de junio de 2026,Kansas City,Arrowhead Stadium,Argentina,2,1,Algeria,Jornada del Grupo J
65,Grupo J,16 de junio de 2026,San Francisco,Levi's Stadium,Austria,1,0,Jordan,Jornada del Grupo J
66,Grupo J,22 de junio de 2026,Dallas,AT&T Stadium,Argentina,0,0,Austria,Jornada del Grupo J
67,Grupo J,22 de junio de 2026,San Francisco,Levi's Stadium,Jordan,2,0,Algeria,Jornada del Grupo J
68,Grupo J,27 de junio de 2026,Dallas,AT&T Stadium,Jordan,0,4,Argentina,Jornada del Grupo J
69,Grupo J,27 de junio de 2026,Kansas City,Arrowhead Stadium,Algeria,1,4,Austria,Jornada del Grupo J
70,Cierre Grupo J,,,,,,,,1º Argentina; 2º Austria; 3º Jordan; 4º Algeria
71,Grupo K,17 de junio de 2026,Houston,NRG Stadium,Portugal,0,1,DR Congo,Jornada del Grupo K
72,Grupo K,17 de junio de 2026,Ciudad de México,Estadio Azteca,Uzbekistan,0,1,Colombia,Jornada del Grupo K
73,Grupo K,23 de junio de 2026,Houston,NRG Stadium,Portugal,1,0,Uzbekistan,Jornada del Grupo K
74,Grupo K,23 de junio de 2026,Guadalajara,Estadio Akron,Colombia,2,1,DR Congo,Jornada del Grupo K
